<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SBRF-3.10;0;20100304;103009;8230.00000;1
SBRF-3.10;0;20100304;103009;8229.00000;1
SBRF-3.10;0;20100304;103009;8229.00000;1
SBRF-3.10;0;20100304;103009;8229.00000;4
SBRF-3.10;0;20100304;103009;8230.00000;4
SBRF-3.10;0;20100304;103009;8230.00000;1
SBRF-3.10;0;20100304;103009;8230.00000;15
SBRF-3.10;0;20100304;103009;8230.00000;28
SBRF-3.10;0;20100304;103009;8229.00000;1
SBRF-3.10;0;20100304;103010;8224.00000;50
SBRF-3.10;0;20100304;103010;8223.00000;50
SBRF-3.10;0;20100304;103010;8230.00000;18
SBRF-3.10;0;20100304;103010;8230.00000;1
SBRF-3.10;0;20100304;103010;8229.00000;8
SBRF-3.10;0;20100304;103010;8229.00000;20
SBRF-3.10;0;20100304;103010;8230.00000;2
SBRF-3.10;0;20100304;103010;8230.00000;2
SBRF-3.10;0;20100304;103010;8233.00000;1
SBRF-3.10;0;20100304;103010;8229.00000;5
SBRF-3.10;0;20100304;103010;8229.00000;10
SBRF-3.10;0;20100304;103011;8229.00000;4
SBRF-3.10;0;20100304;103011;8230.00000;1
SBRF-3.10;0;20100304;103011;8229.00000;28
SBRF-3.10;0;20100304;103011;8225.00000;42
SBRF-3.10;0;20100304;103011;8229.00000;1
SBRF-3.10;0;20100304;103011;8229.00000;1
SBRF-3.10;0;20100304;103011;8229.00000;1
SBRF-3.10;0;20100304;103011;8230.00000;8
SBRF-3.10;0;20100304;103011;8230.00000;1
SBRF-3.10;0;20100304;103011;8230.00000;10
SBRF-3.10;0;20100304;103011;8231.00000;8
SBRF-3.10;0;20100304;103011;8231.00000;1
SBRF-3.10;0;20100304;103011;8231.00000;3
SBRF-3.10;0;20100304;103011;8230.00000;1
SBRF-3.10;0;20100304;103011;8230.00000;4
SBRF-3.10;0;20100304;103011;8230.00000;6
SBRF-3.10;0;20100304;103011;8226.00000;25
SBRF-3.10;0;20100304;103011;8225.00000;15
SBRF-3.10;0;20100304;103011;8231.00000;1
SBRF-3.10;0;20100304;103012;8230.00000;1
SBRF-3.10;0;20100304;103012;8230.00000;3
SBRF-3.10;0;20100304;103012;8230.00000;10
SBRF-3.10;0;20100304;103012;8230.00000;1
SBRF-3.10;0;20100304;103012;8231.00000;5
SBRF-3.10;0;20100304;103012;8231.00000;2
SBRF-3.10;0;20100304;103012;8230.00000;9
SBRF-3.10;0;20100304;103012;8231.00000;1
SBRF-3.10;0;20100304;103012;8231.00000;4
SBRF-3.10;0;20100304;103012;8230.00000;5
SBRF-3.10;0;20100304;103012;8231.00000;3
SBRF-3.10;0;20100304;103012;8230.00000;5
SBRF-3.10;0;20100304;103012;8230.00000;13
SBRF-3.10;0;20100304;103012;8230.00000;1
SBRF-3.10;0;20100304;103012;8230.00000;27
SBRF-3.10;0;20100304;103012;8230.00000;10
SBRF-3.10;0;20100304;103012;8226.00000;35
SBRF-3.10;0;20100304;103012;8225.00000;28
SBRF-3.10;0;20100304;103012;8225.00000;20
SBRF-3.10;0;20100304;103013;8231.00000;4
SBRF-3.10;0;20100304;103013;8231.00000;18
SBRF-3.10;0;20100304;103013;8231.00000;2
SBRF-3.10;0;20100304;103013;8230.00000;5
SBRF-3.10;0;20100304;103013;8225.00000;1
SBRF-3.10;0;20100304;103013;8225.00000;53
SBRF-3.10;0;20100304;103013;8231.00000;1
SBRF-3.10;0;20100304;103013;8225.00000;20
SBRF-3.10;0;20100304;103014;8231.00000;3
SBRF-3.10;0;20100304;103014;8225.00000;10
SBRF-3.10;0;20100304;103014;8225.00000;14
SBRF-3.10;0;20100304;103014;8230.00000;2
SBRF-3.10;0;20100304;103014;8230.00000;4
SBRF-3.10;0;20100304;103014;8231.00000;1
SBRF-3.10;0;20100304;103014;8231.00000;10
SBRF-3.10;0;20100304;103014;8231.00000;15
SBRF-3.10;0;20100304;103014;8234.00000;10
SBRF-3.10;0;20100304;103014;8235.00000;25
SBRF-3.10;0;20100304;103014;8229.00000;1
SBRF-3.10;0;20100304;103015;8229.00000;2
SBRF-3.10;0;20100304;103015;8225.00000;1
SBRF-3.10;0;20100304;103015;8225.00000;5
SBRF-3.10;0;20100304;103015;8234.00000;1
SBRF-3.10;0;20100304;103015;8229.00000;1
SBRF-3.10;0;20100304;103016;8226.00000;2
SBRF-3.10;0;20100304;103016;8233.00000;8
SBRF-3.10;0;20100304;103016;8233.00000;1
SBRF-3.10;0;20100304;103016;8226.00000;1
SBRF-3.10;0;20100304;103016;8234.00000;3
SBRF-3.10;0;20100304;103017;8230.00000;10
SBRF-3.10;0;20100304;103017;8227.00000;4
SBRF-3.10;0;20100304;103017;8227.00000;4
SBRF-3.10;0;20100304;103017;8227.00000;8
SBRF-3.10;0;20100304;103017;8225.00000;1
SBRF-3.10;0;20100304;103017;8227.00000;10
SBRF-3.10;0;20100304;103017;8224.00000;1
SBRF-3.10;0;20100304;103017;8224.00000;1
SBRF-3.10;0;20100304;103017;8223.00000;1
SBRF-3.10;0;20100304;103017;8223.00000;22
SBRF-3.10;0;20100304;103017;8223.00000;1
SBRF-3.10;0;20100304;103017;8223.00000;2
SBRF-3.10;0;20100304;103017;8222.00000;30
SBRF-3.10;0;20100304;103017;8221.00000;72
SBRF-3.10;0;20100304;103017;8227.00000;8
SBRF-3.10;0;20100304;103017;8221.00000;7
SBRF-3.10;0;20100304;103018;8221.00000;1
SBRF-3.10;0;20100304;103018;8227.00000;1
SBRF-3.10;0;20100304;103018;8230.00000;1
SBRF-3.10;0;20100304;103018;8235.00000;1
SBRF-3.10;0;20100304;103018;8221.00000;1
SBRF-3.10;0;20100304;103018;8235.00000;2
SBRF-3.10;0;20100304;103019;8221.00000;10
SBRF-3.10;0;20100304;103019;8232.00000;2
SBRF-3.10;0;20100304;103019;8235.00000;6
SBRF-3.10;0;20100304;103019;8235.00000;1
SBRF-3.10;0;20100304;103019;8235.00000;3
SBRF-3.10;0;20100304;103019;8221.00000;11
SBRF-3.10;0;20100304;103019;8235.00000;1
SBRF-3.10;0;20100304;103019;8236.00000;20
SBRF-3.10;0;20100304;103020;8239.00000;3
SBRF-3.10;0;20100304;103020;8236.00000;15
SBRF-3.10;0;20100304;103020;8236.00000;4
SBRF-3.10;0;20100304;103020;8236.00000;14
SBRF-3.10;0;20100304;103020;8234.00000;1
SBRF-3.10;0;20100304;103020;8222.00000;5
SBRF-3.10;0;20100304;103020;8221.00000;22
SBRF-3.10;0;20100304;103020;8233.00000;1
SBRF-3.10;0;20100304;103020;8234.00000;4
SBRF-3.10;0;20100304;103020;8234.00000;4
SBRF-3.10;0;20100304;103020;8235.00000;45
SBRF-3.10;0;20100304;103020;8232.00000;1
SBRF-3.10;0;20100304;103020;8230.00000;1
SBRF-3.10;0;20100304;103020;8221.00000;1
SBRF-3.10;0;20100304;103022;8225.00000;1
SBRF-3.10;0;20100304;103022;8225.00000;1
SBRF-3.10;0;20100304;103022;8222.00000;1
SBRF-3.10;0;20100304;103022;8227.00000;14
SBRF-3.10;0;20100304;103022;8226.00000;15
SBRF-3.10;0;20100304;103022;8226.00000;1
SBRF-3.10;0;20100304;103022;8227.00000;14
SBRF-3.10;0;20100304;103022;8226.00000;6
SBRF-3.10;0;20100304;103023;8227.00000;15
SBRF-3.10;0;20100304;103023;8227.00000;31
SBRF-3.10;0;20100304;103023;8227.00000;25
SBRF-3.10;0;20100304;103023;8226.00000;1
SBRF-3.10;0;20100304;103023;8226.00000;7
SBRF-3.10;0;20100304;103023;8223.00000;7
SBRF-3.10;0;20100304;103023;8223.00000;1
SBRF-3.10;0;20100304;103023;8223.00000;5
SBRF-3.10;0;20100304;103023;8223.00000;5
SBRF-3.10;0;20100304;103023;8222.00000;37
SBRF-3.10;0;20100304;103023;8222.00000;45
SBRF-3.10;0;20100304;103023;8227.00000;8
SBRF-3.10;0;20100304;103023;8229.00000;1
SBRF-3.10;0;20100304;103023;8230.00000;1
SBRF-3.10;0;20100304;103023;8234.00000;5
SBRF-3.10;0;20100304;103023;8234.00000;24
SBRF-3.10;0;20100304;103023;8227.00000;1
SBRF-3.10;0;20100304;103023;8233.00000;4
SBRF-3.10;0;20100304;103024;8234.00000;1
SBRF-3.10;0;20100304;103024;8234.00000;5
SBRF-3.10;0;20100304;103024;8237.00000;2
SBRF-3.10;0;20100304;103024;8242.00000;1
SBRF-3.10;0;20100304;103024;8242.00000;1
SBRF-3.10;0;20100304;103024;8243.00000;1
SBRF-3.10;0;20100304;103024;8243.00000;1
SBRF-3.10;0;20100304;103025;8236.00000;30
SBRF-3.10;0;20100304;103025;8240.00000;36
SBRF-3.10;0;20100304;103025;8239.00000;5
SBRF-3.10;0;20100304;103025;8240.00000;11
SBRF-3.10;0;20100304;103025;8237.00000;1
SBRF-3.10;0;20100304;103025;8239.00000;5
SBRF-3.10;0;20100304;103025;8240.00000;5
SBRF-3.10;0;20100304;103025;8241.00000;10
SBRF-3.10;0;20100304;103025;8242.00000;17
SBRF-3.10;0;20100304;103025;8242.00000;15
SBRF-3.10;0;20100304;103025;8243.00000;14
SBRF-3.10;0;20100304;103025;8244.00000;9
SBRF-3.10;0;20100304;103025;8244.00000;6
SBRF-3.10;0;20100304;103025;8246.00000;29
SBRF-3.10;0;20100304;103026;8235.00000;1
SBRF-3.10;0;20100304;103026;8235.00000;9
SBRF-3.10;0;20100304;103026;8235.00000;1
SBRF-3.10;0;20100304;103026;8235.00000;15
SBRF-3.10;0;20100304;103026;8239.00000;5
SBRF-3.10;0;20100304;103026;8244.00000;1
SBRF-3.10;0;20100304;103026;8244.00000;26
SBRF-3.10;0;20100304;103026;8238.00000;24
SBRF-3.10;0;20100304;103026;8243.00000;2
SBRF-3.10;0;20100304;103026;8243.00000;64
SBRF-3.10;0;20100304;103026;8239.00000;1
SBRF-3.10;0;20100304;103027;8240.00000;7
SBRF-3.10;0;20100304;103027;8240.00000;3
SBRF-3.10;0;20100304;103027;8239.00000;1
SBRF-3.10;0;20100304;103027;8239.00000;4
SBRF-3.10;0;20100304;103027;8238.00000;91
SBRF-3.10;0;20100304;103027;8236.00000;3
SBRF-3.10;0;20100304;103027;8239.00000;2
SBRF-3.10;0;20100304;103027;8239.00000;6
SBRF-3.10;0;20100304;103027;8239.00000;14
SBRF-3.10;0;20100304;103027;8241.00000;16
SBRF-3.10;0;20100304;103027;8241.00000;23
SBRF-3.10;0;20100304;103028;8241.00000;70
SBRF-3.10;0;20100304;103028;8243.00000;8
SBRF-3.10;0;20100304;103028;8243.00000;4
SBRF-3.10;0;20100304;103029;8243.00000;79
SBRF-3.10;0;20100304;103029;8243.00000;1
SBRF-3.10;0;20100304;103029;8243.00000;15
SBRF-3.10;0;20100304;103029;8244.00000;2
SBRF-3.10;0;20100304;103029;8244.00000;6
SBRF-3.10;0;20100304;103030;8243.00000;10
SBRF-3.10;0;20100304;103030;8244.00000;5
SBRF-3.10;0;20100304;103030;8245.00000;39
SBRF-3.10;0;20100304;103030;8244.00000;12
SBRF-3.10;0;20100304;103030;8245.00000;4
SBRF-3.10;0;20100304;103030;8244.00000;8
SBRF-3.10;0;20100304;103030;8245.00000;2
SBRF-3.10;0;20100304;103030;8244.00000;1
SBRF-3.10;0;20100304;103031;8244.00000;1
SBRF-3.10;0;20100304;103031;8243.00000;22
SBRF-3.10;0;20100304;103032;8244.00000;2
SBRF-3.10;0;20100304;103032;8244.00000;5
SBRF-3.10;0;20100304;103032;8241.00000;44
SBRF-3.10;0;20100304;103032;8241.00000;21
SBRF-3.10;0;20100304;103032;8241.00000;5
SBRF-3.10;0;20100304;103032;8241.00000;2
SBRF-3.10;0;20100304;103032;8241.00000;2
SBRF-3.10;0;20100304;103032;8241.00000;29
SBRF-3.10;0;20100304;103033;8241.00000;2
SBRF-3.10;0;20100304;103033;8241.00000;2
SBRF-3.10;0;20100304;103033;8241.00000;2
SBRF-3.10;0;20100304;103033;8241.00000;1
SBRF-3.10;0;20100304;103033;8241.00000;1
SBRF-3.10;0;20100304;103033;8241.00000;1
SBRF-3.10;0;20100304;103034;8236.00000;1
SBRF-3.10;0;20100304;103034;8236.00000;1
SBRF-3.10;0;20100304;103034;8241.00000;5
SBRF-3.10;0;20100304;103034;8240.00000;1
SBRF-3.10;0;20100304;103034;8241.00000;98
SBRF-3.10;0;20100304;103034;8236.00000;4
SBRF-3.10;0;20100304;103034;8240.00000;6
SBRF-3.10;0;20100304;103034;8241.00000;9
SBRF-3.10;0;20100304;103035;8241.00000;2
SBRF-3.10;0;20100304;103035;8238.00000;2
SBRF-3.10;0;20100304;103035;8238.00000;1
SBRF-3.10;0;20100304;103035;8238.00000;1
SBRF-3.10;0;20100304;103035;8238.00000;1
SBRF-3.10;0;20100304;103036;8241.00000;1
SBRF-3.10;0;20100304;103037;8241.00000;5
SBRF-3.10;0;20100304;103037;8241.00000;1
SBRF-3.10;0;20100304;103037;8241.00000;6
SBRF-3.10;0;20100304;103037;8241.00000;1
SBRF-3.10;0;20100304;103037;8241.00000;60
SBRF-3.10;0;20100304;103039;8241.00000;2
SBRF-3.10;0;20100304;103039;8240.00000;33
SBRF-3.10;0;20100304;103039;8240.00000;2
SBRF-3.10;0;20100304;103039;8240.00000;1
SBRF-3.10;0;20100304;103039;8240.00000;15
SBRF-3.10;0;20100304;103039;8240.00000;15
SBRF-3.10;0;20100304;103039;8236.00000;1
SBRF-3.10;0;20100304;103039;8240.00000;8
SBRF-3.10;0;20100304;103039;8240.00000;10
SBRF-3.10;0;20100304;103039;8238.00000;2
SBRF-3.10;0;20100304;103039;8238.00000;150
SBRF-3.10;0;20100304;103039;8238.00000;80
SBRF-3.10;0;20100304;103039;8238.00000;8
SBRF-3.10;0;20100304;103039;8238.00000;10
SBRF-3.10;0;20100304;103039;8238.00000;20
SBRF-3.10;0;20100304;103039;8238.00000;2
SBRF-3.10;0;20100304;103039;8238.00000;3
SBRF-3.10;0;20100304;103039;8238.00000;5
SBRF-3.10;0;20100304;103039;8238.00000;5
SBRF-3.10;0;20100304;103040;8238.00000;5
SBRF-3.10;0;20100304;103040;8238.00000;10
SBRF-3.10;0;20100304;103040;8240.00000;39
SBRF-3.10;0;20100304;103040;8240.00000;61
SBRF-3.10;0;20100304;103040;8240.00000;29
SBRF-3.10;0;20100304;103040;8243.00000;5
SBRF-3.10;0;20100304;103040;8243.00000;1
SBRF-3.10;0;20100304;103040;8243.00000;14
SBRF-3.10;0;20100304;103040;8244.00000;31
SBRF-3.10;0;20100304;103040;8241.00000;1
SBRF-3.10;0;20100304;103040;8240.00000;1
SBRF-3.10;0;20100304;103040;8240.00000;9
SBRF-3.10;0;20100304;103041;8242.00000;8
SBRF-3.10;0;20100304;103041;8244.00000;39
SBRF-3.10;0;20100304;103041;8243.00000;16
SBRF-3.10;0;20100304;103041;8242.00000;15
SBRF-3.10;0;20100304;103041;8241.00000;2
SBRF-3.10;0;20100304;103041;8240.00000;33
SBRF-3.10;0;20100304;103041;8240.00000;7
SBRF-3.10;0;20100304;103041;8240.00000;20
SBRF-3.10;0;20100304;103041;8240.00000;50
SBRF-3.10;0;20100304;103041;8238.00000;2
SBRF-3.10;0;20100304;103041;8237.00000;24
SBRF-3.10;0;20100304;103041;8237.00000;1
SBRF-3.10;0;20100304;103041;8237.00000;1
SBRF-3.10;0;20100304;103041;8237.00000;150
SBRF-3.10;0;20100304;103042;8237.00000;45
SBRF-3.10;0;20100304;103042;8242.00000;20
SBRF-3.10;0;20100304;103042;8243.00000;26
SBRF-3.10;0;20100304;103042;8241.00000;4
SBRF-3.10;0;20100304;103043;8242.00000;8
SBRF-3.10;0;20100304;103043;8243.00000;1
SBRF-3.10;0;20100304;103043;8242.00000;4
SBRF-3.10;0;20100304;103043;8242.00000;4
SBRF-3.10;0;20100304;103043;8242.00000;1
SBRF-3.10;0;20100304;103043;8242.00000;3
SBRF-3.10;0;20100304;103043;8242.00000;4
SBRF-3.10;0;20100304;103043;8242.00000;8
SBRF-3.10;0;20100304;103043;8241.00000;1
SBRF-3.10;0;20100304;103043;8241.00000;2
SBRF-3.10;0;20100304;103043;8243.00000;11
SBRF-3.10;0;20100304;103043;8243.00000;1
SBRF-3.10;0;20100304;103043;8245.00000;3
SBRF-3.10;0;20100304;103043;8245.00000;1
SBRF-3.10;0;20100304;103043;8245.00000;1
SBRF-3.10;0;20100304;103043;8246.00000;2
SBRF-3.10;0;20100304;103043;8246.00000;1
SBRF-3.10;0;20100304;103044;8239.00000;6
SBRF-3.10;0;20100304;103044;8238.00000;1
SBRF-3.10;0;20100304;103044;8238.00000;2
SBRF-3.10;0;20100304;103044;8238.00000;15
SBRF-3.10;0;20100304;103045;8238.00000;27
SBRF-3.10;0;20100304;103045;8239.00000;53
SBRF-3.10;0;20100304;103045;8237.00000;10
SBRF-3.10;0;20100304;103045;8236.00000;2
SBRF-3.10;0;20100304;103045;8236.00000;10
SBRF-3.10;0;20100304;103045;8236.00000;3
SBRF-3.10;0;20100304;103045;8236.00000;2
SBRF-3.10;0;20100304;103045;8236.00000;10
SBRF-3.10;0;20100304;103045;8239.00000;48
SBRF-3.10;0;20100304;103045;8239.00000;1
SBRF-3.10;0;20100304;103045;8239.00000;4
SBRF-3.10;0;20100304;103046;8237.00000;1
SBRF-3.10;0;20100304;103046;8236.00000;1
SBRF-3.10;0;20100304;103046;8239.00000;3
SBRF-3.10;0;20100304;103046;8239.00000;3
SBRF-3.10;0;20100304;103046;8239.00000;182
SBRF-3.10;0;20100304;103046;8244.00000;1
SBRF-3.10;0;20100304;103046;8245.00000;15
SBRF-3.10;0;20100304;103046;8245.00000;8
SBRF-3.10;0;20100304;103046;8245.00000;7
SBRF-3.10;0;20100304;103046;8245.00000;16
SBRF-3.10;0;20100304;103046;8245.00000;31
SBRF-3.10;0;20100304;103046;8245.00000;15
SBRF-3.10;0;20100304;103046;8245.00000;13
SBRF-3.10;0;20100304;103047;8245.00000;100
SBRF-3.10;0;20100304;103047;8245.00000;56
SBRF-3.10;0;20100304;103047;8245.00000;2
SBRF-3.10;0;20100304;103047;8245.00000;54
SBRF-3.10;0;20100304;103047;8243.00000;5
SBRF-3.10;0;20100304;103047;8243.00000;1
SBRF-3.10;0;20100304;103048;8242.00000;13
SBRF-3.10;0;20100304;103049;8241.00000;1
